ID,Property Type,Bedrooms,Rent,Utilities Included,Min Stay,Bathrooms,Fees,Yard,Parking,Availability,Location,Link,Is Available,Time To Work
243009_1,Apartment (Sublet),1,1775,True,Month to Month,1,Application Fee - $39.99/Cleaning Fee - $135.00/Deposit (Refundable) - $250.00,False,Free Parking on Premises,[],"34.20029110799199, -118.56179646671754",https://furnishedfinder.com/property/243009_1,True,2311
263131_1,House,2,3100,True,Month to Month,2,Cleaning Fee - $150.00/Deposit (Non-Refundable) - $300.00/Deposit (Refundable) - $3100.00,False,Free Parking on Premises,[],"34.1775971, -118.5344590",https://furnishedfinder.com/property/263131_1,True,1887
280592_1,House,1,2600,True,Month to Month,1,Cleaning Fee - $150.00/Deposit (Refundable) - $2200.00,False,Free Parking on Premises,[],"34.2167601, -118.6187986",https://furnishedfinder.com/property/280592_1,True,2564
247088_1,House,2,2675,True,3 Nights,1,Cleaning Fee - $100.00/Deposit (Refundable) - $1000.00/For each additional occupant - $200.00,False,Free Parking on Premises,[],"34.1717076, -118.6169518",https://furnishedfinder.com/property/247088_1,True,2135
251042_1,House,3,2500,True,3 Month Minimum,1,Deposit (Refundable) - $1500.00/Cleaning Fee - $250.00/Application Fee - $75.00,False,Free Parking on Premises,[],"33.9950377, -118.2542383",https://furnishedfinder.com/property/251042_1,True,2628
286648_1,Apartment,1,2500,True,3 Month Minimum,1,Cleaning Fee - $75.00/Deposit (Refundable) - $2500.00,False,Free Parking on Premises,[],"33.9493516, -118.3664662",https://furnishedfinder.com/property/286648_1,True,1622
286648_2,Apartment,1,2500,True,3 Month Minimum,1,Cleaning Fee - $75.00/Deposit (Refundable) - $2500.00,False,Free Parking on Premises,[],"33.9493516, -118.3664662",https://furnishedfinder.com/property/286648_2,True,1622
286648_3,Apartment,1,2300,True,3 Month Minimum,1,Deposit (Refundable) - $2299.00/Cleaning Fee - $75.00,False,Free Parking on Premises,[],"33.9493516, -118.3664662",https://furnishedfinder.com/property/286648_3,True,1622
286648_4,Apartment,1,2300,True,3 Month Minimum,1,Deposit (Refundable) - $2300.00/Cleaning Fee - $75.00,False,Free Parking on Premises,[],"33.9493516, -118.3664662",https://furnishedfinder.com/property/286648_4,True,1622
288842_1,House,2,3100,True,3 Month Minimum,2,Deposit (Non-Refundable) - $1550.00,True,Free Parking on Premises,[],"33.9903749, -118.3406501",https://furnishedfinder.com/property/288842_1,True,1383
